quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,277745,1,0
False,False,False,False,False,277923,0,1
False,False,False,False,False,278162,1,0
False,False,False,False,False,278271,0,1
False,False,False,False,False,278279,0,1
False,False,False,False,False,278677,0,1
False,False,False,False,False,279025,1,0
False,False,False,False,False,279662,0,1
False,False,False,False,False,280196,0,1
False,False,False,False,False,280339,1,0
False,False,False,False,False,280970,1,0
False,False,False,False,False,281016,0,1
False,False,False,False,False,281137,0,1
False,False,False,False,False,281483,0,1
False,False,False,False,False,281694,0,1
False,False,False,False,False,282073,1,0
False,False,False,False,False,282294,0,1
False,False,False,False,False,282819,0,1
False,False,False,False,False,282889,0,1
False,False,False,False,False,283012,1,0
False,False,False,False,False,283380,0,1
False,False,False,False,False,283907,0,1
False,False,False,False,False,284866,0,1
False,False,False,False,False,284878,1,0
False,False,False,False,False,285050,0,1
False,False,False,False,False,285252,1,0
False,False,False,False,False,285561,0,1
False,False,False,False,False,285588,0,1
False,False,False,False,False,285650,0,1
False,False,False,False,False,285990,1,0
False,False,False,False,False,286919,0,1
False,False,False,False,False,287087,0,1
False,False,False,False,False,287228,1,0
False,False,False,False,False,287411,0,1
False,False,False,False,False,287468,1,0
False,False,False,False,False,288112,0,1
False,False,False,False,False,288351,0,1
False,False,False,False,False,288508,1,0
False,False,False,False,False,288730,0,1
False,False,False,False,False,289012,0,1
False,False,False,False,False,289222,0,1
False,False,False,False,False,289879,1,0
False,False,False,False,False,290216,1,0
False,False,False,False,False,290780,0,1
False,False,False,False,False,290901,0,1
False,False,False,False,False,291270,0,1
False,False,False,False,False,291321,0,1
False,False,False,False,False,291974,1,0
False,False,False,False,False,292190,1,0
False,False,False,False,False,292374,0,1
False,False,False,False,False,292433,0,1
False,False,False,False,False,292930,0,1
False,False,False,False,False,293250,1,0
False,False,False,False,False,293662,0,1
False,False,False,False,False,293857,0,1
False,False,False,False,False,293915,1,0
False,False,False,False,False,294247,0,1
False,False,False,False,False,294924,0,1
False,False,False,False,False,295399,1,0
False,False,False,False,False,295409,0,1
False,False,False,False,False,295437,0,1
False,False,False,False,False,296434,0,1
False,False,False,False,False,296472,1,0
False,False,False,False,False,296768,1,0
False,False,False,False,False,296797,0,1
False,False,False,False,False,297436,0,1
False,False,False,False,False,297516,0,1
False,False,False,False,False,297931,0,1
False,False,False,False,False,298044,0,1
False,False,False,False,False,298163,1,0
False,False,False,False,False,299125,1,0
False,False,False,False,False,299174,0,1
False,False,False,False,False,299479,0,1
False,False,False,False,False,299529,0,1
False,False,False,False,False,299666,0,1
False,False,False,False,False,299791,1,0
False,False,False,False,False,300107,0,1
False,False,False,False,False,300887,1,0
False,False,False,False,False,301231,1,0
False,False,False,False,False,301661,0,1
False,False,False,False,False,301690,1,0
False,False,False,False,False,301752,0,1
False,False,False,False,False,301932,0,1
False,False,False,False,False,302899,0,1
False,False,False,False,False,302992,0,1
False,False,False,False,False,303051,0,1
False,False,False,False,False,303072,0,1
False,False,False,False,False,303611,1,0
False,False,False,False,False,303855,1,0
False,False,False,False,False,304134,0,1
False,False,False,False,False,304442,0,1
False,False,False,False,False,304578,1,0
False,False,False,False,False,305605,0,1
False,False,False,False,False,305755,1,0
False,False,False,False,False,305776,0,1
False,False,False,False,False,305913,0,1
False,False,False,False,False,306008,0,1
False,False,False,False,False,306050,1,0
False,False,False,False,False,306100,0,1
False,False,False,False,False,307457,0,1
False,False,False,False,False,307840,1,0
False,False,False,False,False,308010,0,1
False,False,False,False,False,308092,1,0
False,False,False,False,False,308598,0,1
False,False,False,False,False,309216,0,1
False,False,False,False,False,309289,0,1
False,False,False,False,False,309743,1,0
False,False,False,False,False,309937,0,1
False,False,False,False,False,309985,1,0
False,False,False,False,False,310513,0,1
False,False,False,False,False,310539,0,1
False,False,False,False,False,310843,0,1
False,False,False,False,False,311373,0,1
False,False,False,False,False,311775,0,1
False,False,False,False,False,312050,1,0
False,False,False,False,False,312316,1,0
False,False,False,False,False,312511,0,1
False,False,False,False,False,312554,0,1
False,False,False,False,False,312556,1,0
False,False,False,False,False,312947,0,1
False,False,False,False,False,312987,0,1
False,False,False,False,False,313979,1,0
False,False,False,False,False,314131,0,1
False,False,False,False,False,314582,0,1
False,False,False,False,False,314781,0,1
False,False,False,False,False,315353,0,1
False,False,False,False,False,315539,1,0
False,False,False,False,False,315805,0,1
False,False,False,False,False,315812,1,0
False,False,False,False,False,316765,0,1
False,False,False,False,False,316940,0,1
False,False,False,False,False,317181,1,0
False,False,False,False,False,317193,0,1
False,False,False,False,False,317488,1,0
False,False,False,False,False,317789,1,0
False,False,False,False,False,318298,0,1
False,False,False,False,False,318349,0,1
False,False,False,False,False,319010,0,1
False,False,False,False,False,319079,0,1
False,False,False,False,False,319742,1,0
False,False,False,False,False,319903,0,1
False,False,False,False,False,319959,0,1
False,False,False,False,False,319996,1,0
False,False,False,False,False,320045,0,1
False,False,False,False,False,320275,1,0
False,False,False,False,False,320859,0,1
False,False,False,False,False,321161,0,1
False,False,False,False,False,321347,0,1
False,False,False,False,False,321723,1,0
False,False,False,False,False,321802,0,1
False,False,False,False,False,323068,1,0
False,False,False,False,False,323302,0,1
False,False,False,False,False,323476,0,1
False,False,False,False,False,323512,1,0
False,False,False,False,False,323964,0,1
False,False,False,False,False,324012,1,0
False,False,False,False,False,324142,0,1
False,False,False,False,False,324435,0,1
False,False,False,False,False,324785,0,1
False,False,False,False,False,325154,0,1
False,False,False,False,False,325727,1,0
False,False,False,False,False,325908,0,1
False,False,False,False,False,326158,0,1
False,False,False,False,False,326258,1,0
False,False,False,False,False,326781,0,1
False,False,False,False,False,327249,0,1
False,False,False,False,False,327588,0,1
False,False,False,False,False,328128,1,0
False,False,False,False,False,328154,0,1
False,False,False,False,False,328299,0,1
False,False,False,False,False,328831,1,0
False,False,False,False,False,329159,1,0
False,False,False,False,False,329292,0,1
False,False,False,False,False,329393,1,0
False,False,False,False,False,329483,0,1
False,False,False,False,False,329992,0,1
False,False,False,False,False,330228,0,1
False,False,False,False,False,330286,0,1
False,False,False,False,False,330481,1,0
False,False,False,False,False,331009,1,0
False,False,False,False,False,331349,0,1
False,False,False,False,False,331469,0,1
False,False,False,False,False,332410,0,1
False,False,False,False,False,332655,0,1
False,False,False,False,False,332842,1,0
False,False,False,False,False,333087,0,1
False,False,False,False,False,333461,0,1
False,False,False,False,False,333822,1,0
False,False,False,False,False,333982,0,1
False,False,False,False,False,334467,1,0
False,False,False,False,False,334915,1,0
False,False,False,False,False,335338,0,1
False,False,False,False,False,335390,0,1
False,False,False,False,False,336075,0,1
False,False,False,False,False,336226,0,1
False,False,False,False,False,336507,0,1
False,False,False,False,False,336965,1,0
False,False,False,False,False,337236,0,1
False,False,False,False,False,337306,0,1
False,False,False,False,False,337587,1,0
False,False,False,False,False,337932,0,1
False,False,False,False,False,338128,0,1
False,False,False,False,False,338443,0,1
False,False,False,False,False,338502,1,0
False,False,False,False,False,338756,0,1
False,False,False,False,False,338768,1,0
False,False,False,False,False,338874,0,1
False,False,False,False,False,339965,0,1
False,False,False,False,False,340183,1,0
False,False,False,False,False,340215,0,1
False,False,False,False,False,340392,0,1
False,False,False,False,False,340960,0,1
